classification,month,total_posts,bucket_communication_and_creative_pct_posts,bucket_communication_and_creative_n_posts,bucket_communication_and_creative_total_mentions,bucket_communication_and_creative_avg_mentions_per_post,bucket_data_and_analytics_pct_posts,bucket_data_and_analytics_n_posts,bucket_data_and_analytics_total_mentions,bucket_data_and_analytics_avg_mentions_per_post,bucket_development_and_infrastructure_pct_posts,bucket_development_and_infrastructure_n_posts,bucket_development_and_infrastructure_total_mentions,bucket_development_and_infrastructure_avg_mentions_per_post,bucket_domain_specific_and_industry_pct_posts,bucket_domain_specific_and_industry_n_posts,bucket_domain_specific_and_industry_total_mentions,bucket_domain_specific_and_industry_avg_mentions_per_post,bucket_enterprise_and_operations_pct_posts,bucket_enterprise_and_operations_n_posts,bucket_enterprise_and_operations_total_mentions,bucket_enterprise_and_operations_avg_mentions_per_post,bucket_security_and_compliance_pct_posts,bucket_security_and_compliance_n_posts,bucket_security_and_compliance_total_mentions,bucket_security_and_compliance_avg_mentions_per_post
Both,2022-12,43147,82.14707859179086,35444,87832,2.035645583702227,33.73815097225763,14557,21074,0.48842329710060955,34.479801608454814,14877,23604,0.5470600505249495,81.87359491969315,35326,83914,1.9448397339328343,72.02354740769925,31076,73729,1.7087862423806985,17.044058683106588,7354,8130,0.18842561475884767
Both,2023-01,53136,84.13504968383018,44706,110819,2.085572869617585,35.46747967479675,18846,26597,0.5005457693465823,32.89671785606745,17480,29394,0.5531842818428184,76.51686239084613,40658,99166,1.8662676904546822,75.71702800361336,40233,92379,1.7385388437217706,17.457091237579043,9276,10701,0.2013888888888889
Both,2023-02,46587,83.2077618219675,38764,96979,2.0816751454268356,36.28694700238264,16905,23248,0.4990233326893769,33.4685641917273,15592,24868,0.5337969819906841,80.14896859638955,37339,92694,1.9896966965033165,73.43035610792711,34209,82886,1.779165861721081,16.547534719986263,7709,8421,0.18075858071994333
Both,2023-03,61607,84.72576168292564,52197,129424,2.1008002337396725,39.77794731118217,24506,32161,0.5220348337039622,28.788936322171182,17736,28338,0.4599801970555294,78.09989124612463,48115,114707,1.861915042121837,72.37164607917931,44586,102857,1.6695667700099015,15.155745288684727,9337,10275,0.16678299543883
Both,2023-04,54069,85.15415487617673,46042,115416,2.134605781501415,37.722169820044755,20396,27415,0.5070373041853927,30.080082857090016,16264,25122,0.46462853021139655,76.88694076087961,41572,101545,1.8780632155209085,75.96404594129723,41073,90389,1.671734265475596,13.69361371580758,7404,8050,0.14888383362000407
Both,2023-05,58499,81.42874237166447,47635,117321,2.0055214619053316,35.62454059043744,20840,28148,0.48117061830116753,30.07743722114908,17595,27864,0.4763158344587087,76.9637087813467,45023,106085,1.8134498025607275,72.28841518658439,42288,97520,1.6670370433682626,15.460093334928802,9044,9956,0.17019094343493052
Both,2023-06,56095,82.19805686781353,46109,115994,2.067813530617702,37.52919155004902,21052,28804,0.5134860504501293,31.774667973972726,17824,28738,0.5123094749977717,78.80381495676977,44205,108978,1.9427399946519297,73.37908904536947,41162,98154,1.749781620465282,17.23861306711828,9670,10465,0.186558516801854
Both,2023-07,53266,82.9835166898209,44202,104754,1.9666203582022304,34.4872902038824,18370,24437,0.45877295085044867,29.848308489467954,15899,24940,0.46821612285510456,77.69496489317764,41385,97704,1.8342657605226598,70.55532609920024,37582,84142,1.5796568167311231,15.492058724139225,8252,8835,0.16586565538992978
Both,2023-08,58950,85.09923664122137,50166,122928,2.08529262086514,37.759117896522476,22259,28875,0.48982188295165396,30.213740458015266,17811,28731,0.4873791348600509,79.10941475826972,46635,113559,1.9263613231552164,70.42917726887192,41518,96216,1.6321628498727736,15.770992366412214,9297,10221,0.17338422391857505
Both,2023-09,56151,79.34141867464515,44551,114071,2.031504336521166,33.060853769300635,18564,25633,0.4565012199248455,32.36629801784474,18174,29451,0.5244964470801945,75.2987480187352,42281,105368,1.8765115492155082,68.97116703175367,38728,89795,1.5991700949226193,14.387989528236362,8079,8883,0.1581984292354544
Both,2023-10,55268,81.71274516899472,45161,109987,1.9900665846421075,32.65542447709343,18048,25137,0.45482014909169866,32.443728739958026,17931,28502,0.5157052905840631,77.03191720344503,42574,105498,1.9088441774625462,68.29811102265326,37747,89519,1.6197257002243612,14.503872041687776,8016,8790,0.15904320764275892
Both,2023-11,54170,82.54384345578734,44714,106514,1.9662913051504523,37.98597009414805,20577,27305,0.5040612885360901,32.593686542366626,17656,29396,0.5426619900313827,77.91951264537568,42209,105776,1.9526675281521138,72.23740077533691,39131,92106,1.700313826841425,16.178696695587963,8764,9615,0.17749676942957357
